link,image_link,title,source,date,description
https://www.youtube.com/watch?v=1gEI7Ihibac,https://yt3.googleusercontent.com/wDzBAf9UB_rSJZlt_pHtRjGx0JzbK5bwhbdQxKwaW8D5254qsAuzTgm2w6V7q13yKghazQruAEA=s160-c-k-c0x00ffffff-no-rj,Wild Resonance #1: Animal Syntax in the Trees and Seas - A Conversation With Dr. Mason Youngblood,Wild Resonance,07 Aug 2025,Dr. Youngblood and Stephen explore Mason's fascinating research on vocal efficiency in house finches and cetaceans...
https://www.cbsnews.com/news/billion-bird-deaths-glass-window-building-crashes/,https://upload.wikimedia.org/wikipedia/commons/d/dc/CBS_News_logo_%282020%29.svg,More than 1 billion birds die each year after crashing into buildings study finds,CBS News,07 Aug 2024,Buildings are one of the top bird killers in the United States with more than a billion birds dying after a building crash each year...
https://www.mpg.de/21947859/0521-evan-taking-the-lead-in-music-150495-x,https://www.mpg.de/assets/og-logo-281c44f14f2114ed3fe50e666618ff96341055a2f8ce31aa0fd70471a30ca9ed.jpg,Taking the lead in music: First-mover advantage may be key to success in the music industry,Max Planck Society,21 May 2024,Researchers studying the science of cultural evolution have conducted a comprehensive study of the role of first-mover advantage in music...
https://www.discovermagazine.com/the-sciences/music-and-mutations-could-be-linked,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlkWEaNFhbfisTT-Kc48pYYzR7aNme4L1xSA&s,Music and Mutations Could Be Linked,Discover Magazine,17 Nov 2022,Some researchers think that evolution drives transformations in both species and songs...
https://www.apa.org/monitor/2021/07/cover-domestic-extremists,https://aspirace.com/wp-content/uploads/2019/04/APA-Logo.jpg,Deradicalizing domestic extremists,Monitor on Psychology,01 Jul 2021,Psychologists are using their expertise in human behavior to identify ways to deradicalize and disengage domestic extremists...
https://cosmosmagazine.com/people/breaking-up-is-hard-to-do-hip-hop-is-a-cauldron-of-conformity/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSRKzNTI2SNn--9QlFrY8PHtdbwlfTCz6rGg&s,Hip Hop is a cauldron of conformity,Cosmos,24 Sep 2021,Sampling the incorporation of short snippets from previously recorded songs is very popular among hip hop and electronic dance artists...
https://www.nytimes.com/2020/07/02/science/sparrow-bird-song.html,https://logos-world.net/wp-content/uploads/2020/11/The-New-York-Times-Logo.png,Canada's Sparrows Are Singing a New Song. You'll Hear It Soon,New York Times,02 Jul 2020,Over 20 years scientists tracked the transformation of the traditional trill of a common bird from western Canada to Ontario...
https://soundcloud.com/voislam/drive-time-show-podcast-08-02-2021-justice,https://pbs.twimg.com/profile_images/1338157913056153603/ERXMZcAZ_400x400.jpg,Extremism: Rise from the far right,Voices of Islam Radio,02 Feb 2021,Research has shown that higher levels of poverty are linked to increases in violence and extremism...
https://open.spotify.com/episode/2QCsTvlA7X9GAmOwku98Ff,https://i.scdn.co/image/ab6765630000ba8aeb58ac03947f5c65fac92b05,"What's What" Podcast,WFUV,20 Nov 2024,New research published this August in the scientific journal PLOS ONE suggests that more than a billion birds in the US die annually from building collisions...
https://open.spotify.com/episode/5xL3CBZE8punJqWqcpAaio,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRZh_YSsve2MOnbIakH-RBTmOiF7-95g9OGA&s,Sampling music networks,Parsing Science,30 Aug 2019,Can the sharing of drum break samples among musicians help us better understand how networks of artists collaborate?
https://www.theguardian.com/environment/article/2024/aug/07/death-toll-for-birds-hitting-buildings-may-be-over-1-billion-a-year-in-us-report,https://assets-legacy.floridarrc.com/2023/01/the-guardian-logo.jpeg,Death toll for birds hitting buildings may be over 1 billion a year in US,The Guardian,07 Aug 2024,Only 40 percent of birds survive collisions with windows researchers say suggesting that mortality rates are far higher than previously thought...

